# W-E-A13-9t4 実現対 72 個(裁定 207・_probe_a14_exhaustive.g の census 抽出)
# 注意: GAP の 80 桁折返しにより b= の表示が途中で切れている行がある。
#   b は再導出すること: u0 := (1,2,3,4,5,6,7,8,9)(10,11)(12,13) として b = a * u0^-1(GAP 積順)。
#   全対とも <a,b> = A13(1 点固定・Size 照合済)・u|13 型 (9,2,2)・u^2 = xbar = (9,1^4)・N_ord = 9。
# 手計算検証済の 1 対(第 1 行の完全形):
#   a = ( 2,10)( 3, 8)( 4,12)( 5, 6)( 7,13)( 9,11)
#   b = ( 1, 9,10)( 2,11, 8)( 3, 7,12)( 4,13, 6)   [5, 14 固定]
#   共通固定点 = 14 → A13 は {1..13} 上。u^2 = (1,3,5,7,9,2,4,6,8)・尾部 {10,11,12,13} 上で u は 2^2(固定点なし)。
﻿
  A13PAIR a=( 1, 2)( 3,10)( 4, 8)( 5,12)( 7,13)( 9,11) b=( 2, 9,10)( 3,11, 8)
  A13PAIR a=( 1, 2)( 3,10)( 4, 8)( 5,13)( 7,12)( 9,11) b=( 2, 9,10)( 3,11, 8)
  A13PAIR a=( 1, 2)( 3,11)( 4, 8)( 5,12)( 7,13)( 9,10) b=( 2, 9,11)( 3,10, 8)
  A13PAIR a=( 1, 2)( 3,11)( 4, 8)( 5,13)( 7,12)( 9,10) b=( 2, 9,11)( 3,10, 8)
  A13PAIR a=( 1, 2)( 3,12)( 4, 8)( 5,10)( 7,11)( 9,13) b=( 2, 9,12)( 3,13, 8)
  A13PAIR a=( 1, 2)( 3,12)( 4, 8)( 5,11)( 7,10)( 9,13) b=( 2, 9,12)( 3,13, 8)
  A13PAIR a=( 1, 2)( 3,13)( 4, 8)( 5,10)( 7,11)( 9,12) b=( 2, 9,13)( 3,12, 8)
  A13PAIR a=( 1, 2)( 3,13)( 4, 8)( 5,11)( 7,10)( 9,12) b=( 2, 9,13)( 3,12, 8)
  A13PAIR a=( 1,10)( 2, 3)( 4,11)( 5, 9)( 6,12)( 8,13) b=( 1,11, 3)( 4,10, 9)
  A13PAIR a=( 1,10)( 2, 3)( 4,11)( 5, 9)( 6,13)( 8,12) b=( 1,11, 3)( 4,10, 9)
  A13PAIR a=( 1,11)( 2, 3)( 4,10)( 5, 9)( 6,12)( 8,13) b=( 1,10, 3)( 4,11, 9)
  A13PAIR a=( 1,11)( 2, 3)( 4,10)( 5, 9)( 6,13)( 8,12) b=( 1,10, 3)( 4,11, 9)
  A13PAIR a=( 1,12)( 2, 3)( 4,13)( 5, 9)( 6,10)( 8,11) b=( 1,13, 3)( 4,12, 9)
  A13PAIR a=( 1,12)( 2, 3)( 4,13)( 5, 9)( 6,11)( 8,10) b=( 1,13, 3)( 4,12, 9)
  A13PAIR a=( 1,13)( 2, 3)( 4,12)( 5, 9)( 6,10)( 8,11) b=( 1,12, 3)( 4,13, 9)
